,0,1,cancer_type
TCGA-2Z-A9J9-01A,10.89788,44.91477,TCGA-KIRP
TCGA-2Z-A9JD-01A,21.149134,60.016777,TCGA-KIRP
TCGA-2Z-A9JE-01A,25.22143,59.72857,TCGA-KIRP
TCGA-2Z-A9JG-01A,20.013046,64.91495,TCGA-KIRP
TCGA-2Z-A9JI-01A,17.821362,59.947098,TCGA-KIRP
TCGA-2Z-A9JJ-01A,19.458027,62.361053,TCGA-KIRP
TCGA-2Z-A9JK-01A,7.485549,54.933353,TCGA-KIRP
TCGA-2Z-A9JL-01A,20.765509,61.962425,TCGA-KIRP
TCGA-2Z-A9JM-01A,22.067987,61.43013,TCGA-KIRP
TCGA-2Z-A9JN-01A,16.269003,39.767258,TCGA-KIRP
TCGA-2Z-A9JO-01A,18.975243,54.841125,TCGA-KIRP
TCGA-2Z-A9JP-01A,23.203663,57.916183,TCGA-KIRP
TCGA-2Z-A9JQ-01A,24.319162,57.539463,TCGA-KIRP
TCGA-2Z-A9JR-01A,21.97314,61.729904,TCGA-KIRP
TCGA-2Z-A9JS-01A,22.272749,63.71749,TCGA-KIRP
TCGA-2Z-A9JT-01A,23.640507,56.854496,TCGA-KIRP
TCGA-32-1980-01A,69.238716,21.888609,TCGA-GBM
TCGA-32-5222-01A,71.06915,22.085249,TCGA-GBM
TCGA-33-4566-01A,-25.454702,2.8936477,TCGA-LUSC
TCGA-33-4582-01A,-47.92142,7.28918,TCGA-LUSC
TCGA-33-4583-01A,-52.15463,1.7114494,TCGA-LUSC
TCGA-33-4586-01A,-47.552002,6.4812584,TCGA-LUSC
TCGA-33-4587-01A,-34.627926,-5.4405265,TCGA-LUSC
TCGA-33-4589-01A,-58.14991,-18.695482,TCGA-LUSC
TCGA-33-6737-01A,-33.377026,5.8328195,TCGA-LUSC
TCGA-33-6738-01A,-32.55456,4.656279,TCGA-LUSC
TCGA-33-A4WN-01A,-44.666187,-2.1161935,TCGA-LUSC
TCGA-33-A5GW-01A,-48.78012,5.75436,TCGA-LUSC
TCGA-33-AAS8-01A,-47.172684,-1.1745143,TCGA-LUSC
TCGA-33-AASB-01A,-36.355312,3.8941617,TCGA-LUSC
TCGA-33-AASD-01A,-49.51341,6.308828,TCGA-LUSC
TCGA-33-AASI-01A,-58.74082,-8.774191,TCGA-LUSC
TCGA-33-AASJ-01A,-47.41319,5.207744,TCGA-LUSC
TCGA-33-AASL-01A,-45.366894,3.510583,TCGA-LUSC
TCGA-34-5231-01A,-49.39612,-3.8526604,TCGA-LUSC
TCGA-34-5232-01A,-42.281067,-0.7332363,TCGA-LUSC
TCGA-34-5234-01A,-38.61068,-8.033833,TCGA-LUSC
TCGA-34-5236-01A,-44.06404,-0.5732296,TCGA-LUSC
TCGA-34-5239-01A,-40.651344,-0.29368973,TCGA-LUSC
TCGA-34-5240-01A,-47.40934,6.599659,TCGA-LUSC
TCGA-34-5241-01A,-47.103622,-4.709491,TCGA-LUSC
TCGA-34-5927-01A,-36.036217,-5.4772353,TCGA-LUSC
TCGA-34-5928-01A,-44.53343,1.4215453,TCGA-LUSC
TCGA-34-5929-01A,-36.142044,-5.5050845,TCGA-LUSC
TCGA-34-7107-01A,-47.585613,3.3807442,TCGA-LUSC
TCGA-34-8454-01A,-40.37188,-6.5848327,TCGA-LUSC
