,0,1,cancer_type
TCGA-37-A5EM-01A,-1.8762988,-18.08419,TCGA-LUSC
TCGA-37-A5EN-01A,1.5713255,-23.636189,TCGA-LUSC
TCGA-38-4631-01A,18.563564,-9.008216,TCGA-LUAD
TCGA-38-4632-01A,0.22234586,-0.84369195,TCGA-LUAD
TCGA-38-4632-11A,-7.3231626,7.233806,TCGA-LUAD
TCGA-38-6178-01A,-0.057468794,0.57257235,TCGA-LUAD
TCGA-38-7271-01A,1.4785111,-1.242083,TCGA-LUAD
TCGA-38-A44F-01A,-4.801448,1.6251562,TCGA-LUAD
TCGA-39-5011-01A,2.7368772,-5.580536,TCGA-LUSC
TCGA-39-5016-01A,-1.0301832,-25.230534,TCGA-LUSC
TCGA-39-5019-01A,-1.5620114,-17.894333,TCGA-LUSC
TCGA-39-5021-01A,-2.6203833,-18.471483,TCGA-LUSC
TCGA-39-5022-01A,0.87820745,-16.28217,TCGA-LUSC
TCGA-39-5024-01A,3.4750183,-14.720324,TCGA-LUSC
TCGA-39-5027-01A,1.420939,-27.942612,TCGA-LUSC
TCGA-39-5028-01A,-2.6482592,-18.515472,TCGA-LUSC
TCGA-39-5029-01A,-2.771734,-18.562096,TCGA-LUSC
TCGA-39-5030-01A,-2.9647198,-18.305126,TCGA-LUSC
TCGA-39-5031-01A,-2.5783045,-19.284601,TCGA-LUSC
TCGA-39-5034-01A,-4.1992397,-8.104905,TCGA-LUSC
TCGA-39-5035-01A,-3.172809,-18.264845,TCGA-LUSC
TCGA-39-5036-01A,-1.0707062,-26.07956,TCGA-LUSC
TCGA-39-5037-01A,-1.3238509,-27.22923,TCGA-LUSC
TCGA-39-5039-01A,-2.835996,-18.427387,TCGA-LUSC
TCGA-39-5040-01A,-0.8206315,-9.657705,TCGA-LUSC
TCGA-3A-A9I5-01A,1.7500899,7.1098804,TCGA-PAAD
TCGA-3A-A9I7-01A,-2.2338772,10.15216,TCGA-PAAD
TCGA-3A-A9I9-01A,-1.3366411,10.773813,TCGA-PAAD
TCGA-3A-A9IB-01A,-0.21723348,8.217004,TCGA-PAAD
TCGA-3A-A9IC-01A,0.29210764,7.801857,TCGA-PAAD
TCGA-3A-A9IH-01A,0.69315875,8.820903,TCGA-PAAD
TCGA-3A-A9IJ-01A,6.639335,26.90106,TCGA-PAAD
TCGA-3A-A9IL-01A,3.1212976,22.390501,TCGA-PAAD
TCGA-3A-A9IN-01A,3.1809955,22.636343,TCGA-PAAD
TCGA-3A-A9IO-01A,3.3168406,22.603996,TCGA-PAAD
TCGA-3A-A9IR-01A,3.174537,22.334362,TCGA-PAAD
TCGA-3A-A9IS-01A,3.2399597,22.282633,TCGA-PAAD
TCGA-3A-A9IU-01A,1.0635486,10.627452,TCGA-PAAD
TCGA-3A-A9IV-01A,3.1828113,22.149315,TCGA-PAAD
TCGA-3A-A9IX-01A,-2.9421728,10.178009,TCGA-PAAD
TCGA-3A-A9IZ-01A,2.103886,11.145885,TCGA-PAAD
TCGA-3A-A9J0-01A,1.4069498,10.30175,TCGA-PAAD
TCGA-3B-A9HI-01A,23.551847,6.7581367,TCGA-SARC
TCGA-3B-A9HJ-01A,6.8631186,10.775255,TCGA-SARC
TCGA-3B-A9HL-01A,23.8487,6.53467,TCGA-SARC
TCGA-3B-A9HO-01A,22.2843,8.686202,TCGA-SARC
TCGA-3B-A9HP-01A,21.176395,1.4134432,TCGA-SARC
TCGA-3B-A9HQ-01A,21.187828,1.3894715,TCGA-SARC
TCGA-3B-A9HR-01A,23.202806,2.7412736,TCGA-SARC
TCGA-3B-A9HS-01A,6.7614613,4.134073,TCGA-SARC
TCGA-3B-A9HT-01A,7.6268883,9.298778,TCGA-SARC
TCGA-3B-A9HU-01A,-9.346425,-4.6044297,TCGA-SARC
TCGA-3B-A9HV-01A,54.928776,-5.6193843,TCGA-SARC
