,feature_2,feature_14,feature_15,feature_17,feature_18,feature_19,feature_21,feature_23,feature_24,feature_26,feature_29,feature_31,feature_33,feature_35,feature_38,feature_45,feature_47,feature_51,feature_64,feature_65,feature_66,feature_67,feature_74,feature_79,feature_80,feature_81,feature_85,feature_86,feature_87,feature_89,feature_96
TCGA-GN-A4U3-06A,6.1483583,1.8638511,10.3629875,7.7659197,4.2775908,14.4254465,2.7730632,2.1965604,0.0,4.0273714,0.0,0.0,0.0,0.71053225,14.537149,4.937831,6.6371703,13.007535,6.250993,0.0,0.0,11.764959,2.4363835,0.3154065,8.309798,6.188456,6.6140146,0.0,0.0,1.8577664,17.285645
TCGA-GN-A4U4-06A,1.7514269,1.4242098,5.8456783,4.6394987,5.0743327,12.823327,2.5172403,4.1437383,0.0,3.2558346,0.0,1.9747818,0.0,4.258303,11.92039,5.24978,2.104739,15.859278,14.114492,0.0,0.0,9.006055,0.0,0.9095846,4.847885,0.0,4.263562,6.035301,0.0,0.0,10.119269
TCGA-GN-A4U5-01A,1.6468706,0.0,5.5859733,4.2542033,3.486332,14.419892,3.312247,7.9387245,0.0,0.9745227,0.0,2.73519,0.0,1.7739552,7.334802,7.6254005,8.661908,10.085797,9.726505,0.0,1.343268,3.18931,1.7837557,0.6286924,5.3679414,5.5501285,3.4397035,1.1097941,0.0,0.6722886,8.725295
TCGA-GN-A4U7-06A,1.4639499,4.016328,9.348097,9.170079,3.5637107,10.901786,4.2792993,6.7076445,0.0,0.0,0.0,2.6834717,0.0,0.0,8.865054,2.426844,16.517675,15.895256,5.058711,0.0,0.0,10.136971,2.4254506,0.0,5.4660635,4.658678,3.984414,0.0,0.0,2.994619,18.85119
TCGA-GN-A4U8-06A,0.0,0.0,3.1330159,4.283618,6.1983824,12.494235,0.8185826,2.70826,0.0,2.2508836,0.0,1.2829237,0.0,1.7881395,8.698198,6.0513544,3.2598221,12.465724,10.539232,0.0,2.1228526,3.4096105,0.0,0.8986336,5.192692,3.8883398,4.9960847,0.4058621,0.0,0.0,8.1095
TCGA-GN-A4U8-11A,0.0,0.0,2.3192046,2.3677073,8.736157,14.357996,2.0572903,3.0464637,0.2881869,0.0,0.0,3.7512515,0.0,0.69859195,5.248032,11.172194,4.74337,9.31463,10.510879,0.0,4.166594,1.2877951,0.0,0.036650963,5.7662053,6.18994,6.0148745,4.093775,0.0,0.27170938,4.6316004
TCGA-GN-A4U9-06A,0.0,0.0,5.7477765,5.9300404,9.705075,4.905951,0.0,8.495335,0.0,14.426498,0.0,2.769394,0.0,7.918272,13.845047,1.4797416,4.5159793,16.1297,16.307842,0.0,2.0916648,2.632128,0.0,8.873367,5.2218814,5.0158567,6.7914305,15.104347,0.0,7.1586127,11.813702
TCGA-GN-A8LK-06A,7.2695312,6.054191,10.151447,5.2617493,1.264165,10.191821,6.563357,4.242534,0.0,4.446365,0.0,0.0,0.0,14.129815,10.0771,0.0,16.309076,13.458721,17.10636,0.0,0.0,7.5983706,0.0,0.0,0.9061519,3.3439996,7.7521553,13.820078,0.0,0.0,10.726263
TCGA-GN-A8LL-06A,6.4467077,1.6875486,6.6853538,10.012168,2.989614,13.315984,7.038262,6.611887,2.434967,1.2211931,0.0,5.445185,0.0,2.4483545,11.759949,0.0,17.523537,16.047232,4.8094387,0.0,0.0,6.2144976,0.9468054,0.0,3.5355556,0.16455409,6.4039474,5.5361195,0.0,2.8227935,12.893941
TCGA-GN-A8LN-01A,3.2960293,3.0140705,6.8432956,8.830644,5.276475,17.17994,1.9183359,3.817972,1.1717975,6.096097,0.0,0.0,0.0,1.0895419,12.86259,3.1173334,8.734902,10.687648,13.066308,0.0,0.0,11.010064,0.80286324,2.1478639,4.432471,0.0,1.9748821,0.0,0.0,6.536998,16.469053
TCGA-GN-A9SD-06A,0.0,0.72261405,3.5545905,4.459192,6.503255,15.171961,0.0,8.278746,1.2462747,2.600751,0.0,0.8623543,0.0,2.9551303,6.689966,8.698959,8.310545,10.282822,9.102169,0.0,4.7364273,0.7572177,0.0,0.0,6.002581,4.7797227,5.477888,3.5680995,0.0,0.90847754,7.6299314
TCGA-GR-7351-01A,0.84274805,5.600841,2.428326,0.0,5.7841673,11.5820675,4.0949507,3.030152,4.0292783,3.8614955,0.0,7.320824,5.895885,9.380424,0.32814816,6.4969726,0.0,0.0,13.742743,0.0,1.5018634,5.4279985,3.5863135,2.5643039,4.805501,1.7518348,12.307918,5.5730267,0.0,1.1230665,0.0
TCGA-GR-7353-01A,1.0840502,0.20747018,0.0,4.5408297,15.628874,16.032806,1.8045018,4.4887757,8.879611,0.0,0.0,8.288825,1.4247348,14.23981,5.860455,6.4462605,3.659621,4.8240724,13.878755,0.0,0.0,4.922423,0.0,4.703306,8.002258,0.8915428,8.502055,7.2695327,0.39435115,0.3273605,4.757333
TCGA-GR-A4D4-01A,3.636566,6.5200896,1.219623,1.4991992,7.6612387,12.325118,5.4230103,6.8654175,7.057181,0.0,0.0,4.783865,0.39882636,3.1342883,3.3066792,11.084967,5.814035,1.479246,8.394746,0.0,0.4432509,1.0140461,9.794484,1.1116122,2.7760575,4.0477185,12.622972,0.0,0.0,5.561226,4.7048883
TCGA-GR-A4D5-01A,2.4412124,4.2212977,2.4772885,0.64337164,9.544192,9.512702,0.9972343,7.468436,1.6095753,0.0,0.0,4.040401,2.834094,2.8672688,0.8850381,11.682404,6.303892,0.0,6.75497,0.0,5.2871275,0.0,1.5862947,2.0156085,0.8812186,5.44789,10.386899,0.5291083,0.0,3.5500793,0.40923035
TCGA-GR-A4D6-01A,3.2941456,4.332373,2.6972144,0.0,7.417613,13.030254,1.3230299,4.2728076,3.4674976,0.0,0.0,3.523854,3.766453,8.482772,0.78568524,6.4876523,5.5975385,0.5891526,10.879074,0.0,2.7369735,0.0,5.3378253,3.2411623,4.84014,3.0140493,16.807533,1.6016471,0.0,2.0112104,0.0386132
TCGA-GR-A4D9-01B,3.0790737,8.629721,1.9861454,0.0,8.728012,9.039092,4.398123,8.488569,8.879739,0.10012293,0.0,2.432264,4.7214513,4.4307237,4.1173196,3.2395144,3.3650405,2.5035732,9.450473,0.0,0.6861323,1.2711966,8.541288,0.0,0.009768292,3.5756679,12.837184,0.0,0.0,5.3601913,5.0969963
TCGA-GS-A9TQ-01A,1.9290785,10.741261,0.45654494,0.0,6.960319,14.378217,4.3990064,5.036898,11.874679,0.0,0.0,2.597709,8.448687,10.608407,3.6271224,2.1480553,5.245432,0.0,16.106441,0.0,0.0,4.0960226,9.299456,0.9625092,1.8234074,0.37117645,17.036955,4.789387,0.0,6.111955,4.1401196
TCGA-GS-A9TT-01A,2.1098585,15.665529,0.0,0.0,8.846384,9.718738,4.4504404,6.3451567,21.35307,0.0,0.0,0.0,9.104678,11.174697,4.761872,1.9452502,5.5880556,1.1190821,17.455536,0.0,0.0,2.3812299,14.008831,0.0,0.0,0.0,13.018414,3.5938995,0.0,7.6443686,3.72806
TCGA-GS-A9TU-01A,1.7246941,6.814185,0.0,0.0,8.27576,13.09089,1.6490979,1.356008,5.6922545,1.2372322,0.0,0.5304853,4.343655,4.5402994,4.0434294,7.5638657,1.4352667,0.0,9.472869,0.0,3.025173,0.0,4.9874268,0.0,0.0,4.5040917,11.06219,2.3154924,0.0,6.1264668,2.77648
TCGA-GS-A9TV-01A,4.1943192,1.1334469,2.641825,8.811113,7.0781984,8.097788,2.2046492,6.773372,0.0,0.0,0.0,7.422703,0.0,2.2539096,1.6010271,16.259989,5.5081425,1.4001169,9.8514385,0.0,4.4448786,0.0,0.29712164,0.0,1.9178483,10.855968,12.620008,3.837216,2.0610185,6.08098,0.2513883
TCGA-GS-A9TW-01A,1.0981565,8.866396,0.0,0.0,7.7528667,8.924121,3.796503,3.4000447,7.5938363,2.6083431,0.0,5.5624514,0.63301075,7.1587634,5.987592,5.5210156,0.69662696,1.1297891,10.111849,0.0,0.097601995,2.635957,3.9034111,0.51780224,0.9818383,3.5966554,10.491796,2.1560526,0.0,3.7098012,4.2598886
TCGA-GS-A9TX-01A,3.066302,4.542649,1.1520978,0.1478622,9.444454,13.685718,2.26029,2.1782787,1.4936609,0.0,0.0,3.026953,1.6874785,3.2942011,3.865924,13.588112,5.029817,0.0,8.970703,0.0,3.9170544,0.0,3.4623978,1.3837382,0.0,7.735372,13.654084,4.3400307,0.0,2.4952247,2.2570422
TCGA-GS-A9TY-01A,1.2142526,8.404823,0.0,0.19112447,10.044961,12.332231,4.764818,7.202441,15.305975,0.49937975,0.0,9.593219,2.654593,13.377861,4.49481,0.0,7.4717817,0.0,14.498932,0.0,0.0,2.7095635,3.0961845,2.0798585,4.687676,0.0,11.062728,4.747989,2.062569,3.0706737,6.7074366
TCGA-GS-A9TZ-01A,3.2080214,5.401836,0.11012155,0.0,10.083292,10.628169,4.015929,2.291525,7.5630593,1.0494151,0.0,7.002545,2.2749393,3.8203218,6.821748,5.9275417,1.9545034,0.11971441,9.353279,0.0,1.6730977,0.342035,1.4139838,2.05772,0.0,1.8138064,9.876756,2.5055945,0.0,3.8218224,2.9174688
