,feature_2,feature_14,feature_15,feature_17,feature_18,feature_19,feature_21,feature_23,feature_24,feature_26,feature_29,feature_31,feature_33,feature_35,feature_38,feature_45,feature_47,feature_51,feature_64,feature_65,feature_66,feature_67,feature_74,feature_79,feature_80,feature_81,feature_85,feature_86,feature_87,feature_89,feature_96
TCGA-12-5299-01A,0.122573145,0.41262087,0.2883508,0.45831475,0.33241832,0.21225624,0.0,0.47716472,0.06744833,0.7920533,0.0,0.0,0.0,0.0154854655,0.0,0.254503,0.22733839,0.10446974,0.110335745,0.0,0.060697038,0.3796793,0.0,0.26872364,0.40127715,0.22016405,0.33053243,0.27261767,0.0,0.16403508,0.20383182
TCGA-13-A5FT-01A,0.53267145,0.16368039,0.17964916,0.66167516,0.48146918,0.0,0.32242304,0.38070035,0.0,0.33703235,0.0,0.28066856,0.0,0.16354887,0.47808602,0.21815684,0.22567728,0.5551606,0.078785494,0.0,0.066950254,0.122434795,0.0,0.08695134,0.43426588,0.17687231,0.27792943,0.15294994,0.119994916,0.33484128,0.15632735
TCGA-14-0736-02A,0.10969583,0.1325122,0.21203484,0.3114226,0.62556344,0.35030016,0.0,0.2258298,0.106656,0.4925942,0.0,0.04001393,0.0,0.08163819,0.03085024,0.3790175,0.289675,0.20679483,0.15988852,0.0,0.15615763,0.0,0.0,0.21817514,0.27054355,0.14025253,0.24788964,0.23118237,0.0,0.09144245,0.12981406
TCGA-14-0781-01B,0.079424486,0.26606995,0.37830788,0.27590388,0.406967,0.2718162,0.0,0.06032908,0.0,0.35160553,0.0,0.05994772,0.0,0.04915308,0.0,0.57058126,0.32767856,0.18502595,0.2093622,0.0,0.11593078,0.0,0.0,0.100181706,0.1437353,0.29535922,0.31463817,0.19234692,0.0,0.13995342,0.08759685
TCGA-14-1034-02B,0.0012301337,0.56736463,0.1825132,0.44731447,0.36226207,0.1384648,0.0,0.43537164,0.14498773,0.5918445,0.0,0.0,0.0,0.022060787,0.0,0.29811674,0.26818308,0.0,0.08993652,0.0,0.010367377,0.3972803,0.05324189,0.3417688,0.39259145,0.13970111,0.3855376,0.34931615,0.0,0.4399281,0.2210694
TCGA-14-1402-02A,0.161555,0.38806173,0.2832381,0.32493314,0.3360201,0.11264733,0.0,0.42050135,0.2728482,0.70299655,0.0,0.0,0.0,0.16767636,0.0,0.11084831,0.2682989,0.08417208,0.25745457,0.0,0.12600632,0.2057789,0.063387014,0.3042524,0.2915595,0.092430905,0.31655863,0.17984794,0.0,0.3041801,0.17410938
TCGA-15-1444-01A,0.0797342,0.0,0.22460504,0.28701362,0.13573441,0.14631487,0.0,0.092051856,0.0,0.45419595,0.0,0.0,0.0,0.08912563,0.0,0.2739854,0.087457605,0.23515391,0.26960027,0.0,0.00038380173,0.30792028,0.10734873,0.29779747,0.06332928,0.2279506,0.1423379,0.10218593,0.0,0.088144995,0.056718014
TCGA-18-3417-01A,0.15366107,0.17026702,0.50150216,0.2116964,0.414619,0.37346715,0.4863329,0.01821225,0.0,0.36553186,0.0,0.25074455,0.36822808,0.29262298,0.24235511,0.1985051,0.24708183,0.25775087,0.16664818,0.0,0.60764724,0.053478733,0.0,0.03666177,0.16500656,0.058375847,0.05642258,0.23476873,0.017134719,0.102412656,0.0788763
TCGA-18-4721-01A,0.008953442,0.09559882,0.4026741,0.17827465,0.3293623,0.5285195,0.20126948,0.027000463,0.0391548,0.3229664,0.0,0.062316857,0.2641633,0.3692389,0.19175209,0.22538345,0.09363214,0.08973933,0.19910985,0.0,0.4754904,0.0,0.0,0.0,0.06397657,0.2713002,0.23344688,0.30609244,0.0,0.016651245,0.0
TCGA-18-5592-01A,0.277391,0.08157333,0.6644509,0.37228894,0.18932834,0.36602327,0.4386921,0.07733933,0.011066187,0.3845344,0.0,0.090508826,0.46060738,0.3406476,0.48756167,0.100035295,0.2711129,0.0,0.17481466,0.0,0.34624243,0.0,0.0,0.073419474,0.0,0.30079985,0.25899395,0.27067015,0.013979394,0.24900238,0.10064919
