,0,1,cancer_type
TCGA-2G-AAF8-01A,1.7823368,-14.283731,TCGA-TGCT
TCGA-2G-AAFE-01A,1.8529898,-14.974464,TCGA-TGCT
TCGA-2G-AAFG-01A,0.0487798,-14.547891,TCGA-TGCT
TCGA-2G-AAFG-05A,-1.3686111,-14.126766,TCGA-TGCT
TCGA-2G-AAFH-01A,1.8852751,-14.422698,TCGA-TGCT
TCGA-2G-AAFI-01A,0.87395096,-10.195704,TCGA-TGCT
TCGA-2G-AAFJ-01A,4.150736,-9.893701,TCGA-TGCT
TCGA-2G-AAFL-01A,-0.2456852,-11.33309,TCGA-TGCT
TCGA-2G-AAFM-01A,-1.4514154,-11.101167,TCGA-TGCT
TCGA-2G-AAFN-01A,1.4847957,-10.958732,TCGA-TGCT
TCGA-2G-AAFO-01A,-0.1985348,-11.354227,TCGA-TGCT
TCGA-2G-AAFV-01A,0.79430264,-9.377959,TCGA-TGCT
TCGA-2G-AAFY-01A,-1.4983563,-11.104396,TCGA-TGCT
TCGA-2G-AAFZ-01A,18.547745,1.9179527,TCGA-TGCT
TCGA-2G-AAG0-01A,-1.0978674,-10.91764,TCGA-TGCT
TCGA-2G-AAG3-01A,6.430814,-8.622153,TCGA-TGCT
TCGA-2G-AAG5-01A,3.6795182,-9.152974,TCGA-TGCT
TCGA-2G-AAG6-01A,3.657122,-9.53006,TCGA-TGCT
TCGA-2G-AAG7-01A,2.4671192,-10.120709,TCGA-TGCT
TCGA-2G-AAG8-01A,0.025051778,-11.38105,TCGA-TGCT
TCGA-2G-AAG9-01A,1.4832134,-14.88925,TCGA-TGCT
TCGA-2G-AAGA-01A,1.1951778,-10.7033,TCGA-TGCT
TCGA-2G-AAGC-01A,0.23182951,-10.013915,TCGA-TGCT
TCGA-2G-AAGE-01A,3.0732954,-9.89369,TCGA-TGCT
TCGA-2G-AAGF-01A,2.6026242,-10.4486,TCGA-TGCT
TCGA-2G-AAGG-01A,2.9943984,-8.834951,TCGA-TGCT
TCGA-2G-AAGI-01A,3.1344616,-10.212981,TCGA-TGCT
TCGA-2G-AAGI-05A,-0.29864365,-14.481048,TCGA-TGCT
TCGA-2G-AAGJ-01A,-0.17853683,-11.01013,TCGA-TGCT
TCGA-2G-AAGK-01A,0.3698685,-9.723167,TCGA-TGCT
TCGA-2G-AAGM-01A,4.2546334,-10.431409,TCGA-TGCT
TCGA-2G-AAGN-01A,-0.06090711,-10.7656,TCGA-TGCT
TCGA-2G-AAGO-01A,0.5966945,-9.822484,TCGA-TGCT
TCGA-2G-AAGP-01A,-3.3348372,-10.682581,TCGA-TGCT
TCGA-2G-AAGS-01A,2.9603438,-10.348305,TCGA-TGCT
TCGA-2G-AAGT-01A,0.516797,6.1080685,TCGA-TGCT
TCGA-2G-AAGV-01A,6.1577606,-7.7162056,TCGA-TGCT
TCGA-2G-AAGW-01A,1.5813311,-11.016255,TCGA-TGCT
TCGA-2G-AAGX-01A,4.2340817,-10.155417,TCGA-TGCT
TCGA-2G-AAGY-01A,4.2568116,-10.301434,TCGA-TGCT
TCGA-2G-AAGY-05A,3.3491948,-15.248705,TCGA-TGCT
TCGA-2G-AAGZ-01A,-0.31316346,-11.344732,TCGA-TGCT
TCGA-2G-AAH0-01A,2.2413905,-14.744619,TCGA-TGCT
TCGA-2G-AAH2-01A,2.983163,-10.142726,TCGA-TGCT
TCGA-2G-AAH3-01A,3.2975721,-15.239376,TCGA-TGCT
TCGA-2G-AAH4-01A,4.197109,-10.419812,TCGA-TGCT
TCGA-2G-AAH8-01A,3.1412592,-15.1884,TCGA-TGCT
TCGA-2G-AAHA-01A,1.0522615,-14.797664,TCGA-TGCT
TCGA-2G-AAHC-01A,-1.0015383,-14.311813,TCGA-TGCT
TCGA-2G-AAHG-01A,3.2679656,-15.212655,TCGA-TGCT
TCGA-2G-AAHL-01A,2.6898885,-15.075904,TCGA-TGCT
TCGA-2G-AAHN-01A,-0.40761256,-14.455958,TCGA-TGCT
TCGA-2G-AAHP-01A,3.4570584,-15.272328,TCGA-TGCT
TCGA-2G-AAHP-05A,0.8928924,-14.707034,TCGA-TGCT
TCGA-2G-AAHT-01A,1.5483667,-14.851166,TCGA-TGCT
TCGA-2G-AAKD-01A,1.4152998,-10.946528,TCGA-TGCT
TCGA-2G-AAKG-01A,0.28146264,-10.01164,TCGA-TGCT
