,0,1,cancer_type
TCGA-GV-A3JX-01A-11R-A20F-07,-7.306169,23.826916,TCGA-BLCA
TCGA-GV-A3JZ-01A-11R-A21D-07,-6.619491,21.334175,TCGA-BLCA
TCGA-GU-A767-01A-11R-A32O-07,-9.181614,19.27702,TCGA-BLCA
TCGA-FD-A5BR-01A-11R-A26T-07,-6.6615143,19.179007,TCGA-BLCA
TCGA-DK-A1A3-01A-11R-A13Y-07,-4.8471017,18.861887,TCGA-BLCA
TCGA-XF-A8HC-01A-11R-A36F-07,-8.955698,21.485739,TCGA-BLCA
TCGA-KQ-A41N-01A-11R-A33J-07,-9.089719,19.852144,TCGA-BLCA
TCGA-GD-A3OQ-11A-21R-A220-07,-7.391859,17.346516,TCGA-BLCA
TCGA-BT-A20O-01A-21R-A14Y-07,-13.631468,5.05746,TCGA-BLCA
TCGA-DK-AA6X-01A-12R-A42T-07,-7.3404174,23.857328,TCGA-BLCA
TCGA-KQ-A41R-01A-21R-A352-07,-6.660357,20.50854,TCGA-BLCA
TCGA-FD-A62N-01A-11R-A30C-07,-2.6131833,15.010206,TCGA-BLCA
TCGA-BL-A13J-01A-11R-A277-07,29.376637,-5.858491,TCGA-BLCA
TCGA-CF-A47T-01A-11R-A23W-07,-9.65892,20.409838,TCGA-BLCA
TCGA-C4-A0F1-01A-11R-A034-07,4.5300555,24.848186,TCGA-BLCA
TCGA-DK-A1AA-01A-11R-A13Y-07,-9.326023,22.57683,TCGA-BLCA
TCGA-ZF-AA4X-01A-11R-A38B-07,-7.479011,23.315138,TCGA-BLCA
TCGA-K4-A54R-01A-11R-A26T-07,-5.1160345,19.334724,TCGA-BLCA
TCGA-FD-A6TK-01A-42R-A33J-07,-1.9582106,16.15734,TCGA-BLCA
TCGA-BT-A20X-01A-11R-A16R-07,1.3915443,18.277956,TCGA-BLCA
TCGA-4Z-AA7W-01A-11R-A39I-07,-3.8019252,16.249426,TCGA-BLCA
TCGA-FJ-A3Z7-01A-12R-A23N-07,-7.0462055,20.766068,TCGA-BLCA
TCGA-DK-AA75-01A-11R-A39I-07,-6.085831,20.508043,TCGA-BLCA
TCGA-BT-A20R-11A-11R-A16R-07,-5.5733175,-1.6513898,TCGA-BLCA
TCGA-E7-A8O8-01A-11R-A36F-07,-10.46039,21.126734,TCGA-BLCA
TCGA-DK-A6B2-01A-11R-A30C-07,-7.0495696,19.334654,TCGA-BLCA
TCGA-CF-A1HR-01A-11R-A13Y-07,-5.469356,19.143866,TCGA-BLCA
TCGA-ZF-AA58-01A-12R-A42T-07,-2.2870862,15.034304,TCGA-BLCA
TCGA-BT-A2LA-01A-11R-A18C-07,-2.0022368,2.642852,TCGA-BLCA
TCGA-BT-A20P-01A-11R-A14Y-07,-10.156235,22.373123,TCGA-BLCA
TCGA-C4-A0F0-01A-12R-A10U-07,1.4928428,25.254517,TCGA-BLCA
TCGA-BT-A20R-01A-12R-A16R-07,-7.6202035,19.725826,TCGA-BLCA
TCGA-DK-A1AE-01A-11R-A13Y-07,-8.122423,21.42585,TCGA-BLCA
TCGA-XF-A9SZ-01A-11R-A39I-07,-5.3893337,19.966917,TCGA-BLCA
TCGA-XF-A9T4-01A-11R-A39I-07,-5.838754,18.18659,TCGA-BLCA
TCGA-CF-A47W-01A-11R-A23W-07,-10.145697,20.547655,TCGA-BLCA
TCGA-XF-AAN0-01A-11R-A42T-07,-6.3213677,17.617949,TCGA-BLCA
TCGA-DK-A1AD-01A-11R-A13Y-07,-7.7788024,21.011282,TCGA-BLCA
TCGA-DK-A2I4-01A-11R-A21D-07,-2.1201904,15.885302,TCGA-BLCA
TCGA-DK-A1AC-01A-11R-A13Y-07,-6.7214937,21.190079,TCGA-BLCA
TCGA-FD-A5BY-01A-31R-A28M-07,1.5583063,15.259212,TCGA-BLCA
TCGA-GD-A3OP-01A-21R-A220-07,-7.254841,17.60614,TCGA-BLCA
TCGA-4Z-AA82-01A-11R-A39I-07,-2.8428695,18.951319,TCGA-BLCA
TCGA-FD-A3B7-01A-31R-A20F-07,-1.6412947,16.240353,TCGA-BLCA
TCGA-YC-A89H-01A-11R-A36F-07,-4.794187,20.008959,TCGA-BLCA
TCGA-XF-A8HD-01A-11R-A36F-07,-2.2007349,15.85704,TCGA-BLCA
TCGA-UY-A9PA-01A-11R-A38B-07,-6.391225,18.285568,TCGA-BLCA
TCGA-E7-A677-01A-11R-A30C-07,-8.569717,21.943356,TCGA-BLCA
TCGA-FD-A3B6-01A-21R-A20F-07,-0.61486,17.035103,TCGA-BLCA
TCGA-XF-AAN3-01A-11R-A42T-07,7.889402,14.124876,TCGA-BLCA
TCGA-GD-A6C6-01A-21R-A31N-07,-4.4415746,10.405478,TCGA-BLCA
TCGA-XF-A8HG-01A-11R-A36F-07,-8.090621,22.84716,TCGA-BLCA
TCGA-GU-A763-01A-11R-A32O-07,-9.826791,20.521364,TCGA-BLCA
TCGA-FJ-A3Z9-01A-11R-A26T-07,-9.558378,22.294535,TCGA-BLCA
TCGA-HQ-A5ND-01A-11R-A26T-07,2.4832063,16.829744,TCGA-BLCA
TCGA-XF-A9SP-01A-11R-A39I-07,-4.7169313,17.584785,TCGA-BLCA
TCGA-DK-AA6U-01A-11R-A39I-07,-7.185437,22.99644,TCGA-BLCA
TCGA-K4-A6MB-01A-11R-A31N-07,-6.577795,21.775059,TCGA-BLCA
TCGA-4Z-AA89-01A-11R-A39I-07,-9.438178,22.537912,TCGA-BLCA
TCGA-CF-A3MI-01A-11R-A20F-07,-10.455959,21.366493,TCGA-BLCA
TCGA-E7-A5KF-01A-11R-A28M-07,-9.289116,22.881992,TCGA-BLCA
TCGA-BT-A0YX-01A-11R-A10U-07,-2.3629422,19.112646,TCGA-BLCA
TCGA-GU-AATO-01A-11R-A39I-07,-4.390195,16.924746,TCGA-BLCA
TCGA-CF-A9FM-01A-11R-A38B-07,-9.489495,22.758394,TCGA-BLCA
TCGA-ZF-AA4T-01A-11R-A38B-07,-5.279366,20.99431,TCGA-BLCA
TCGA-FD-A43X-01A-11R-A23W-07,-9.60706,22.052538,TCGA-BLCA
TCGA-XF-A9SI-01A-11R-A39I-07,7.0250974,10.24533,TCGA-BLCA
TCGA-XF-A8HF-01A-11R-A36F-07,-8.890942,19.34507,TCGA-BLCA
TCGA-4Z-AA7O-01A-31R-A39I-07,-4.890746,20.428198,TCGA-BLCA
TCGA-XF-AAML-01A-11R-A42T-07,-5.061602,20.641893,TCGA-BLCA
TCGA-E5-A4TZ-01A-11R-A31N-07,-6.964904,22.352169,TCGA-BLCA
TCGA-BT-A20N-01A-11R-A14Y-07,-4.3685365,20.488388,TCGA-BLCA
TCGA-R3-A69X-01A-22R-A30C-07,-6.286131,18.970457,TCGA-BLCA
TCGA-FD-A3NA-01A-11R-A21D-07,-5.8566866,19.852654,TCGA-BLCA
